"","Year","State","market","harvest","materials","chemical","Value","units"
"190",2016,"CALIFORNIA","BEARING","APPLICATIONS","(CHLORANTRANILIPROLE = 90100)","INSECTICIDE","0.061","LB / ACRE / APPLICATION"
"191",2016,"CALIFORNIA","BEARING","APPLICATIONS","(CYFLUMETOFEN = 138831)","INSECTICIDE","0.179","LB / ACRE / APPLICATION"
"192",2016,"CALIFORNIA","BEARING","APPLICATIONS","(FENPROPATHRIN = 127901)","INSECTICIDE","0.293","LB / ACRE / APPLICATION"
"193",2016,"CALIFORNIA","BEARING","APPLICATIONS","(FLONICAMID = 128016)","INSECTICIDE","0.086","LB / ACRE / APPLICATION"
"194",2016,"CALIFORNIA","BEARING","APPLICATIONS","(FLUPYRADIFURONE = 122304)","INSECTICIDE","0.182","LB / ACRE / APPLICATION"
"195",2016,"CALIFORNIA","BEARING","APPLICATIONS","(HEXYTHIAZOX = 128849)","INSECTICIDE","0.188","LB / ACRE / APPLICATION"
"196",2016,"CALIFORNIA","BEARING","APPLICATIONS","(IMIDACLOPRID = 129099)","INSECTICIDE","0.477","LB / ACRE / APPLICATION"
"197",2016,"CALIFORNIA","BEARING","APPLICATIONS","(MALATHION = 57701)","INSECTICIDE","1.957","LB / ACRE / APPLICATION"
"198",2016,"CALIFORNIA","BEARING","APPLICATIONS","(METHOXYFENOZIDE = 121027)","INSECTICIDE","0.173","LB / ACRE / APPLICATION"
"199",2016,"CALIFORNIA","BEARING","APPLICATIONS","(NALED = 34401)","INSECTICIDE","0.9","LB / ACRE / APPLICATION"
"200",2016,"CALIFORNIA","BEARING","APPLICATIONS","(NEEM OIL = 25006)","INSECTICIDE","0.987","LB / ACRE / APPLICATION"
"201",2016,"CALIFORNIA","BEARING","APPLICATIONS","(NEEM OIL","INSECTICIDE","5.86","LB / ACRE / APPLICATION"
"202",2016,"CALIFORNIA","BEARING","APPLICATIONS","(NOVALURON = 124002)","INSECTICIDE","0.078","LB / ACRE / APPLICATION"
"203",2016,"CALIFORNIA","BEARING","APPLICATIONS","(PYRETHRINS = 69001)","INSECTICIDE","0.044","LB / ACRE / APPLICATION"
"204",2016,"CALIFORNIA","BEARING","APPLICATIONS","(SPINETORAM = 110007)","INSECTICIDE","0.07","LB / ACRE / APPLICATION"
"205",2016,"CALIFORNIA","BEARING","APPLICATIONS","(SPINOSAD = 110003)","INSECTICIDE","0.09","LB / ACRE / APPLICATION"
"206",2016,"CALIFORNIA","BEARING","APPLICATIONS","(SPIROMESIFEN = 24875)","INSECTICIDE","0.25","LB / ACRE / APPLICATION"
"207",2016,"CALIFORNIA","BEARING","APPLICATIONS","(THIAMETHOXAM = 60109)","INSECTICIDE","0.062","LB / ACRE / APPLICATION"
"208",2016,"CALIFORNIA","BEARING","APPLICATIONS","(CHLOROPICRIN = 81501)","OTHER","251.559","LB / ACRE / APPLICATION"
"209",2016,"CALIFORNIA","BEARING","APPLICATIONS","(DICHLOROPROPENE = 29001)","OTHER","104.337","LB / ACRE / APPLICATION"
"210",2016,"CALIFORNIA","BEARING","APPLICATIONS","(FLUTRIAFOL = 128940)","OTHER","0.114","LB / ACRE / APPLICATION"
"211",2016,"CALIFORNIA","BEARING","APPLICATIONS","(REYNOUTRIA SACHALINE = 55809)","OTHER","0.199","LB / ACRE / APPLICATION"
"212",2016,"FLORIDA","BEARING","APPLICATIONS","(AZOXYSTROBIN = 128810)","FUNGICIDE","0.114","LB / ACRE / APPLICATION"
"213",2016,"FLORIDA","BEARING","APPLICATIONS","(CAPTAN = 81301)","FUNGICIDE","1.909","LB / ACRE / APPLICATION"
"214",2016,"FLORIDA","BEARING","APPLICATIONS","(CYFLUFENAMID = 555550)","FUNGICIDE","0.01","LB / ACRE / APPLICATION"
"215",2016,"FLORIDA","BEARING","APPLICATIONS","(CYPRODINIL = 288202)","FUNGICIDE","0.322","LB / ACRE / APPLICATION"
"216",2016,"FLORIDA","BEARING","APPLICATIONS","(FLUDIOXONIL = 71503)","FUNGICIDE","0.224","LB / ACRE / APPLICATION"
"217",2016,"FLORIDA","BEARING","APPLICATIONS","(ISOFETAMID = 270000)","FUNGICIDE","0.362","LB / ACRE / APPLICATION"
"218",2016,"FLORIDA","BEARING","APPLICATIONS","(THIOPHANATE-METHYL = 102001)","FUNGICIDE","0.659","LB / ACRE / APPLICATION"
"219",2016,"FLORIDA","BEARING","APPLICATIONS","(BIFENAZATE = 586)","INSECTICIDE","0.46","LB / ACRE / APPLICATION"
"220",2016,"FLORIDA","BEARING","APPLICATIONS","(BIFENTHRIN = 128825)","INSECTICIDE","0.117","LB / ACRE / APPLICATION"
"221",2016,"FLORIDA","BEARING","APPLICATIONS","(CHLORANTRANILIPROLE = 90100)","INSECTICIDE","0.054","LB / ACRE / APPLICATION"
"222",2016,"FLORIDA","BEARING","APPLICATIONS","(NOVALURON = 124002)","INSECTICIDE","0.039","LB / ACRE / APPLICATION"
"223",2016,"WASHINGTON","BEARING","APPLICATIONS","(BOSCALID = 128008)","FUNGICIDE","0.276","LB / ACRE / APPLICATION"
"224",2016,"WASHINGTON","BEARING","APPLICATIONS","(PYRACLOSTROBIN = 99100)","FUNGICIDE","0.155","LB / ACRE / APPLICATION"
"225",2016,"WASHINGTON","BEARING","APPLICATIONS","(SULFENTRAZONE = 129081)","HERBICIDE","0.228","LB / ACRE / APPLICATION"
